Designator,Mid X,Mid Y,Rotation,Layer
C1,165.0,-62.0,270.0,top
C2,161.5,-66.5,180.0,top
C3,164.0,-84.775,270.0,top
C4,161.0,-88.5,180.0,top
C5,162.75,-103.0,0.0,top
C6,161.75,-106.5,90.0,top
IC1,155.95,-63.0,0.0,top
IC2,156.0,-105.5,0.0,top
IC3,155.5,-84.25,0.0,top
J1,179.96,-64.04,90.0,top
J2,149.5,-63.0,270.0,top
J3,180.75,-108.27,90.0,top
J4,149.54,-71.73,270.0,top
J5,149.5,-91.23,270.0,top
J6,180.5,-87.5,90.0,top
J7,149.5,-103.77,270.0,top
J8,180.5,-99.25,90.0,top
J9,149.5,-84.23,270.0,top
JP1,158.0,-78.0,180.0,top
JP10,150.27,-55.0,0.0,top
JP2,173.5,-78.0,0.0,top
JP3,165.5,-78.0,180.0,top
JP4,150.0,-78.0,180.0,top
JP5,173.5,-55.0,0.0,top
JP6,161.0,-71.0,180.0,top
JP7,169.5,-98.0,0.0,top
JP8,159.5,-98.0,0.0,top
JP9,158.0,-55.0,180.0,top
R1,155.5,-66.5,0.0,top
R10,170.825,-109.75,180.0,top
R11,162.825,-109.75,0.0,top
R2,159.5,-62.825,270.0,top
R3,165.0,-67.5,0.0,top
R4,154.5,-72.0,270.0,top
R5,155.5,-92.0,270.0,top
R6,164.825,-89.5,0.0,top
R7,156.0,-88.0,0.0,top
R8,160.0,-84.175,90.0,top
R9,167.0,-109.75,0.0,top
U1,171.5,-63.0,0.0,top
U2,171.5,-87.0,0.0,top
U3,170.5,-104.25,0.0,top
